k,time,maxflow,paths
1,0,2,1
2,0,4,2
3,0,7,4
4,0,15,7
5,0,54,20
6,2,147,45
7,8,320,71
8,49,1051,178
9,233,2700,378
10,533,4258,407
11,2233,10744,755
12,7122,23879,1165
13,20186,38869,1512
14,115389,101636,2326
15,238166,171763,3311
16,1314462,528382,6991
