n,B,U,L,C,D,D-C
27000,92,9968,8,339257,352265,13008
27000,46,10003,7,259443,354519,95076
27000,279,9926,7,281263,340028,58765
27000,306,9977,7,275994,346106,70112
27000,338,9930,7,376895,398749,21854
27000,42,9904,7,407577,427071,19494
27000,144,10008,8,277148,366857,89709
27000,211,9928,7,247948,364861,116913
27000,362,9932,7,276901,348009,71108
27000,38,9897,8,292271,384826,92555
27000,179,10038,7,259073,348603,89530
27000,155,9931,7,306208,419204,112996
27000,189,9944,8,264383,369555,105172
27000,294,9909,7,255032,337239,82207
27000,103,9934,7,235853,432635,196782
27000,359,9888,7,269067,373642,104575
27000,117,9921,7,244275,305647,61372
27000,97,9924,7,282343,401393,119050
27000,175,9973,7,323345,324570,1225
27000,122,9831,7,270865,335716,64851
27000,231,10011,7,263477,319334,55857
27000,50,9837,6,248462,347878,99416
27000,329,9948,9,286318,385206,98888
27000,184,9895,8,241443,348082,106639
27000,60,9983,7,335370,405171,69801
27000,460,9925,7,268711,365468,96757
27000,138,9892,8,288254,362194,73940
27000,252,9921,7,279756,361016,81260
27000,342,10020,7,274244,371955,97711
27000,383,9922,6,246931,354121,107190
27000,96,9985,7,292351,440966,148615
27000,204,9945,9,381247,388206,6959
27000,172,9884,7,263205,319159,55954
27000,171,9917,8,271711,309477,37766
27000,309,9875,7,251339,440170,188831
27000,91,9941,7,266143,330092,63949
27000,130,9970,7,281573,365622,84049
27000,334,9999,7,275340,324329,48989
27000,189,9953,7,299958,354667,54709
27000,254,9984,7,301761,391488,89727
27000,161,9905,6,319153,386029,66876
27000,236,9885,8,381144,386202,5058
27000,223,9988,8,271035,360030,88995
27000,398,9939,7,309162,359705,50543
27000,441,9981,7,301393,338143,36750
27000,139,9913,7,311826,329361,17535
28000,139,10244,8,276865,380805,103940
28000,295,10213,7,316203,433296,117093
28000,193,10307,7,312294,349673,37379
28000,133,10364,6,272230,331470,59240
28000,70,10346,7,280359,395676,115317
28000,174,10276,6,276122,365705,89583
28000,120,10309,8,289988,344342,54354
28000,213,10340,9,394994,422698,27704
28000,321,10284,7,287299,372494,85195
28000,97,10271,8,251934,328430,76496
28000,260,10360,7,321196,343576,22380
28000,253,10311,7,256336,357306,100970
28000,239,10278,6,271922,392333,120411
28000,362,10244,7,334590,372054,37464
28000,236,10349,7,265363,431572,166209
28000,55,10273,8,299169,352826,53657
28000,161,10293,7,260561,389424,128863
28000,182,10278,8,315559,398418,82859
28000,66,10330,7,293937,439561,145624
28000,216,10354,7,284992,322888,37896
28000,163,10229,7,309618,346095,36477
28000,112,10293,8,320222,415323,95101
28000,92,10318,7,363937,390337,26400
28000,382,10303,7,291147,382364,91217
28000,169,10312,7,277534,403301,125767
28000,243,10303,7,342597,388796,46199
28000,229,10227,7,346207,442896,96689
28000,422,10354,7,258868,395318,136450
28000,441,10301,7,277833,387500,109667
28000,165,10192,9,330550,436722,106172
28000,236,10337,8,298417,408133,109716
28000,204,10283,7,261992,346894,84902
28000,130,10224,8,290475,317324,26849
28000,251,10321,7,304399,407756,103357
28000,40,10294,8,285231,374095,88864
28000,488,10344,8,330825,397042,66217
28000,484,10272,8,288886,333162,44276
28000,96,10308,7,277603,399832,122229
28000,225,10316,7,258710,342668,83958
28000,307,10391,7,373993,515912,141919
28000,151,10329,8,304338,344283,39945
28000,132,10328,7,294806,330815,36009
28000,394,10275,6,344118,393934,49816
28000,153,10308,7,279705,318437,38732
28000,28,10176,7,326465,425842,99377
28000,196,10262,7,280146,358269,78123
28000,108,10302,8,258869,329105,70236
28000,142,10334,7,329208,360883,31675
28000,186,10210,8,356039,371271,15232
28000,218,10304,7,326352,402899,76547
29000,249,10642,7,291241,371514,80273
29000,217,10658,8,293419,367625,74206
29000,183,10655,8,334484,381295,46811
29000,159,10685,7,312382,498190,185808
29000,91,10770,7,295660,387580,91920
29000,194,10554,8,287970,376323,88353
29000,240,10667,7,323064,374503,51439
29000,181,10585,6,309323,367739,58416
29000,120,10732,7,289963,397014,107051
29000,166,10630,9,320258,461571,141313
29000,277,10671,7,291853,606423,314570
29000,193,10601,6,329693,498816,169123
29000,144,10668,7,377579,408728,31149
29000,203,10741,8,292531,350273,57742
29000,349,10678,7,294605,421584,126979
29000,220,10652,7,283463,374729,91266
29000,117,10661,7,362247,452271,90024
29000,273,10617,8,346337,348684,2347
29000,395,10690,7,281650,353938,72288
29000,179,10731,7,276831,341677,64846
29000,137,10648,8,302697,478664,175967
29000,217,10651,8,289469,378078,88609
29000,371,10717,7,287237,358023,70786
29000,227,10675,7,325853,394445,68592
29000,79,10643,7,300909,380667,79758
29000,198,10618,7,280893,378821,97928
29000,207,10608,7,349704,406492,56788
29000,325,10789,7,297636,369908,72272
29000,247,10653,7,297829,414669,116840
29000,341,10696,7,301044,387229,86185
29000,76,10589,7,286367,428172,141805
29000,257,10632,8,282147,363027,80880
29000,25,10569,7,291293,435721,144428
29000,442,10694,8,334773,423576,88803
29000,189,10667,6,308890,444596,135706
29000,83,10692,7,443787,488965,45178
29000,287,10643,7,363854,369445,5591
29000,384,10630,7,238020,375187,137167
29000,51,10693,7,277766,335282,57516
29000,97,10733,8,296394,354219,57825
29000,219,10607,8,358419,378183,19764
29000,65,10623,7,287864,390870,103006
29000,203,10633,7,285500,366827,81327
29000,170,10641,7,281005,336010,55005
29000,173,10655,8,305983,364270,58287
29000,304,10633,6,316381,347526,31145
29000,45,10762,7,298396,377820,79424
29000,356,10649,8,356177,481153,124976
29000,231,10621,8,313765,341060,27295
29000,463,10716,7,312817,370626,57809
30000,98,11091,7,287344,418343,130999
30000,167,10976,8,335442,390098,54656
30000,188,11080,10,290269,363794,73525
30000,96,11013,8,296608,384063,87455
30000,119,10892,7,403011,454270,51259
30000,347,11026,7,388188,461242,73054
30000,134,11019,7,271789,361885,90096
30000,262,11082,8,309238,362922,53684
30000,327,10961,7,307457,456753,149296
30000,144,11097,7,308782,416474,107692
30000,34,10910,7,345635,428705,83070
30000,342,10998,7,414633,422626,7993
30000,287,11012,6,351631,451555,99924
30000,179,10964,7,319481,401376,81895
30000,44,11048,7,295945,354452,58507
30000,142,10945,7,304625,387021,82396
30000,237,10976,7,360345,446721,86376
30000,308,11053,7,290190,400632,110442
30000,175,11000,7,302628,413953,111325
30000,86,11008,7,287167,434596,147429
30000,77,10986,8,380495,389785,9290
30000,167,11093,6,324376,370869,46493
30000,196,11040,7,318037,396498,78461
30000,116,11072,8,351637,427622,75985
30000,358,11072,7,371161,394452,23291
30000,172,11139,7,290300,378042,87742
30000,597,11006,7,346445,402510,56065
30000,377,11049,7,347235,366079,18844
30000,237,10990,8,311340,391566,80226
30000,269,10992,8,356807,452281,95474
30000,257,11017,7,311185,358720,47535
30000,74,11088,7,282629,373038,90409
30000,249,10950,8,444076,504505,60429
30000,354,10998,7,296312,353684,57372
30000,209,11007,7,315856,379423,63567
30000,379,11008,7,364583,484147,119564
30000,453,10982,6,295222,359862,64640
30000,189,11030,8,283845,404041,120196
30000,195,11010,7,456912,504718,47806
30000,104,11071,9,301716,408065,106349
30000,164,11012,7,370755,398298,27543
30000,447,11042,8,316887,413375,96488
30000,282,11130,7,310533,358966,48433
30000,304,11054,7,344494,404592,60098
30000,228,10981,7,317911,415456,97545
30000,277,11032,7,286768,429812,143044
30000,339,11047,8,311558,388221,76663
30000,150,11075,7,336227,396034,59807
30000,89,11025,9,272237,383968,111731
30000,61,11002,7,283010,396653,113643
31000,306,11396,7,335848,409865,74017
31000,383,11350,6,326411,418006,91595
31000,114,11364,6,323738,422059,98321
31000,163,11336,7,350214,403608,53394
31000,192,11459,8,298071,393982,95911
31000,397,11367,7,325181,448005,122824
31000,466,11369,7,328834,390292,61458
31000,111,11326,7,294109,416040,121931
31000,242,11377,8,349839,416893,67054
31000,237,11504,9,306231,374597,68366
31000,191,11423,7,399163,403973,4810
31000,79,11412,7,359911,441648,81737
31000,297,11399,6,458131,491754,33623
31000,96,11358,8,308642,340755,32113
31000,438,11392,7,327541,458797,131256
31000,286,11404,8,311574,389394,77820
31000,244,11516,7,299504,410699,111195
31000,31,11379,7,321681,393642,71961
31000,303,11325,7,382177,524347,142170
31000,260,11394,8,356230,417264,61034
31000,306,11397,9,348394,351851,3457
31000,65,11382,8,273393,372217,98824
31000,129,11498,8,282381,413237,130856
31000,315,11483,7,329444,446140,116696
31000,251,11396,8,328208,394105,65897
31000,197,11447,7,327886,437592,109706
31000,227,11333,7,318564,398034,79470
31000,99,11371,7,311758,429494,117736
31000,334,11467,7,339606,426401,86795
31000,199,11477,7,325008,391815,66807
31000,204,11431,7,320091,488396,168305
31000,333,11475,7,305756,475082,169326
31000,129,11398,7,342667,405308,62641
31000,194,11374,7,292580,391631,99051
31000,116,11378,6,344011,377652,33641
31000,379,11513,7,350660,369452,18792
31000,136,11351,8,304554,464886,160332
31000,202,11438,8,399960,456073,56113
31000,147,11428,8,325723,448869,123146
31000,235,11439,8,342910,434463,91553
31000,40,11454,8,382438,510132,127694
31000,201,11373,7,315783,405789,90006
31000,281,11408,7,340227,447376,107149
31000,231,11330,7,444195,450801,6606
31000,78,11362,7,342067,444205,102138
31000,145,11477,8,309800,382843,73043
31000,203,11347,7,331150,449245,118095
31000,220,11422,7,385592,403650,18058
31000,88,11396,7,427204,456840,29636
31000,305,11369,7,337996,432843,94847
32000,80,11744,7,321779,391873,70094
32000,305,11811,8,484681,490764,6083
32000,236,11786,8,301880,405289,103409
32000,146,11767,8,384283,486681,102398
32000,203,11827,7,315317,531948,216631
32000,404,11793,7,359076,387657,28581
32000,262,11733,8,305798,487043,181245
32000,331,11762,7,376132,444851,68719
32000,350,11777,7,372956,516628,143672
32000,256,11746,6,352655,432481,79826
32000,100,11781,8,297641,406598,108957
32000,94,11754,8,340914,465615,124701
32000,203,11741,9,318978,421490,102512
32000,50,11696,7,360260,528068,167808
32000,108,11862,8,322883,433694,110811
32000,515,11846,8,328232,379291,51059
32000,80,11807,8,403460,524780,121320
32000,243,11781,7,393550,403429,9879
32000,304,11815,9,435108,512047,76939
32000,340,11791,7,299066,390227,91161
32000,151,11757,7,382152,450015,67863
32000,284,11779,7,343596,508681,165085
32000,243,11735,7,363578,499147,135569
32000,132,11738,7,395097,451355,56258
32000,227,11805,8,334797,397069,62272
32000,242,11785,8,312236,404907,92671
32000,219,11840,8,416044,472620,56576
32000,213,11675,7,329422,450650,121228
32000,70,11764,7,439209,455007,15798
32000,455,11773,7,364099,417700,53601
32000,276,11861,8,364452,411632,47180
32000,261,11784,7,308324,424357,116033
32000,355,11701,8,291471,408529,117058
32000,148,11845,8,421614,449504,27890
32000,315,11776,7,331461,358441,26980
32000,170,11838,7,304436,454391,149955
32000,184,11769,7,332467,396402,63935
32000,258,11827,7,358038,401966,43928
32000,210,11747,8,371168,457097,85929
32000,151,11790,7,331890,402785,70895
32000,213,11760,7,304962,408901,103939
32000,197,11797,8,345677,502787,157110
32000,122,11733,7,442934,485979,43045
32000,129,11844,7,343361,362308,18947
32000,84,11652,8,310748,403349,92601
32000,49,11750,8,366864,439962,73098
32000,67,11713,7,343196,425907,82711
32000,313,11709,6,372706,457775,85069
32000,378,11759,7,311293,439975,128682
32000,317,11807,7,360076,488195,128119
33000,163,12060,7,378295,438066,59771
33000,37,12125,7,334726,433596,98870
33000,215,12069,7,338825,484572,145747
33000,101,12128,7,335119,386385,51266
33000,463,12063,7,348340,401469,53129
33000,78,12137,7,362523,380977,18454
33000,196,12161,7,316293,420281,103988
33000,111,12175,7,467280,492312,25032
33000,306,12106,7,353923,460139,106216
33000,232,12135,7,440037,441631,1594
33000,153,12161,7,357706,589945,232239
33000,329,12185,7,316948,489492,172544
33000,236,12197,8,337716,384335,46619
33000,222,12182,7,363443,471551,108108
33000,297,12170,7,348473,386710,38237
33000,126,12114,8,373628,428962,55334
33000,203,12118,7,335344,570900,235556
33000,179,12068,7,384212,419945,35733
33000,95,12196,7,393161,465945,72784
33000,112,12120,7,318496,411905,93409
33000,207,12079,9,334498,466482,131984
33000,281,12050,7,327964,455045,127081
33000,223,12069,7,358038,437475,79437
33000,441,12111,7,371577,404082,32505
33000,623,12219,7,347264,438187,90923
33000,234,12118,7,335747,424850,89103
33000,405,12169,6,420056,552310,132254
33000,363,12040,7,349652,416152,66500
33000,53,12077,7,380214,430964,50750
33000,303,12149,7,352699,385296,32597
33000,105,12113,7,390014,429302,39288
33000,486,12132,7,403668,518683,115015
33000,98,12133,7,350003,533864,183861
33000,238,12068,7,333776,466910,133134
33000,367,12117,8,360592,420603,60011
33000,249,12181,7,342466,395908,53442
33000,193,12070,7,350996,447944,96948
33000,193,12126,8,347882,454364,106482
33000,48,12074,8,423647,487731,64084
33000,246,12231,7,365285,401306,36021
33000,49,12165,7,354227,400351,46124
33000,277,12266,8,365657,395062,29405
33000,189,12088,8,335135,414657,79522
33000,489,12217,7,328446,482590,154144
33000,142,12113,7,357157,480981,123824
33000,213,12088,7,367380,388263,20883
33000,40,12060,8,391287,493344,102057
33000,237,12277,8,322011,397744,75733
33000,174,12104,8,372967,416583,43616
33000,396,12146,9,409436,504288,94852
34000,167,12410,7,402772,450860,48088
34000,30,12491,7,363411,461710,98299
34000,178,12452,6,394268,436410,42142
34000,396,12481,7,356659,431928,75269
34000,51,12592,7,359371,429830,70459
34000,258,12539,7,362942,607417,244475
34000,79,12439,7,320260,405740,85480
34000,404,12519,6,341001,480036,139035
34000,164,12441,7,341536,509308,167772
34000,194,12432,7,346767,517659,170892
34000,200,12467,7,347306,474065,126759
34000,394,12519,7,374938,466867,91929
34000,297,12449,7,334813,469883,135070
34000,345,12497,7,387191,442938,55747
34000,211,12527,7,322256,406742,84486
34000,55,12534,7,457490,502145,44655
34000,348,12576,7,424478,471883,47405
34000,70,12611,6,352358,445418,93060
34000,177,12444,7,527137,538398,11261
34000,230,12581,8,387752,518949,131197
34000,182,12571,7,322495,464483,141988
34000,263,12485,7,346455,428498,82043
34000,188,12566,7,443679,463031,19352
34000,268,12477,7,361044,440261,79217
34000,426,12449,8,359839,404813,44974
34000,326,12447,7,437619,590266,152647
34000,364,12575,8,311127,390526,79399
34000,55,12485,6,395729,526893,131164
34000,142,12430,8,334572,395157,60585
34000,86,12521,7,342310,411416,69106
34000,283,12449,7,365853,437961,72108
34000,133,12411,6,429781,450637,20856
34000,67,12607,7,310117,451073,140956
34000,134,12596,7,470195,484655,14460
34000,148,12484,7,405225,492244,87019
34000,232,12590,7,309359,459301,149942
34000,180,12505,6,447791,455981,8190
34000,488,12521,7,351402,446201,94799
34000,317,12538,7,322820,489887,167067
34000,214,12504,8,413528,452412,38884
34000,207,12525,7,386735,465980,79245
34000,277,12520,7,342722,443316,100594
34000,190,12522,8,369238,449190,79952
34000,74,12463,7,377946,422216,44270
34000,161,12474,7,304532,496106,191574
34000,186,12457,7,376324,473602,97278
34000,101,12530,8,364929,436847,71918
34000,226,12443,7,366307,459933,93626
34000,94,12537,7,417053,427311,10258
34000,297,12404,7,318249,504595,186346
35000,269,12930,8,320070,432953,112883
35000,164,12933,7,402487,495647,93160
35000,140,12854,7,340485,432793,92308
35000,308,12790,7,332574,428251,95677
35000,442,12881,7,361018,433133,72115
35000,136,12852,7,509590,573193,63603
35000,348,13008,7,338493,517404,178911
35000,349,12878,7,364914,484871,119957
35000,407,12838,7,335476,493202,157726
35000,288,12854,9,358356,463418,105062
35000,142,12907,8,356432,501014,144582
35000,161,12916,7,384137,534457,150320
35000,339,12829,8,319192,406504,87312
35000,247,12815,7,379764,457411,77647
35000,225,12909,6,417819,464983,47164
35000,73,12867,8,364743,549246,184503
35000,353,12848,8,387482,425084,37602
35000,102,12860,7,402740,496774,94034
35000,85,12921,8,385525,413964,28439
35000,296,12947,7,353741,515104,161363
35000,60,12853,7,344759,443852,99093
35000,426,12901,8,485916,550906,64990
35000,93,12870,8,352906,463234,110328
35000,290,13008,7,383596,452593,68997
35000,99,12787,7,324168,497616,173448
35000,370,12902,7,487197,509782,22585
35000,225,12916,7,386475,465080,78605
35000,244,12906,7,405528,536347,130819
35000,327,12943,7,341385,576675,235290
35000,222,12874,7,482055,505260,23205
35000,212,12882,7,379956,425533,45577
35000,170,12893,7,363846,448694,84848
35000,251,12863,7,373468,454432,80964
35000,185,12891,7,475134,488645,13511
35000,99,12872,7,360650,430398,69748
35000,146,12863,7,438631,494964,56333
35000,441,12922,7,360145,455238,95093
35000,233,12907,7,367527,477788,110261
35000,237,12892,7,361577,485671,124094
35000,197,12906,7,606644,607736,1092
35000,162,12892,7,495709,559280,63571
35000,126,12881,7,358606,443762,85156
35000,290,12971,7,532429,564520,32091
35000,295,13006,7,341080,465020,123940
35000,387,12829,8,351050,423042,71992
35000,111,12936,7,413494,561232,147738
35000,112,12898,8,363437,476734,113297
35000,260,12883,7,352902,468503,115601
35000,46,12963,7,355396,585045,229649
35000,327,12882,7,378884,468854,89970
36000,340,13272,8,361046,510238,149192
36000,460,13226,8,438078,549387,111309
36000,268,13230,8,384082,526693,142611
36000,305,13272,8,345566,466030,120464
36000,54,13252,7,431633,471330,39697
36000,163,13206,6,478030,486045,8015
36000,202,13322,8,372433,444141,71708
36000,497,13153,8,456303,488529,32226
36000,372,13337,7,413799,458482,44683
36000,345,13212,8,377515,539450,161935
36000,157,13273,7,402656,524787,122131
36000,90,13302,7,362425,476508,114083
36000,158,13254,7,385578,441166,55588
36000,199,13231,8,417287,460126,42839
36000,221,13209,8,459821,486397,26576
36000,131,13231,7,369761,465222,95461
36000,248,13301,8,409035,489775,80740
36000,240,13268,8,439542,498542,59000
36000,323,13136,7,342453,426959,84506
36000,239,13168,7,395192,492769,97577
36000,319,13258,7,408238,552757,144519
36000,102,13319,7,374046,452901,78855
36000,218,13349,7,429546,441070,11524
36000,344,13258,7,460368,489519,29151
36000,343,13194,6,381016,497237,116221
36000,190,13314,7,352168,542458,190290
36000,233,13211,7,408758,453854,45096
36000,253,13080,7,473275,526628,53353
36000,135,13340,7,359815,529968,170153
36000,252,13377,7,357827,465699,107872
36000,187,13272,7,349044,423765,74721
36000,218,13326,7,443243,489732,46489
36000,314,13247,6,333995,451027,117032
36000,110,13221,8,353567,470414,116847
36000,143,13194,8,415627,640517,224890
36000,355,13336,7,374323,594711,220388
36000,259,13241,7,400777,536920,136143
36000,333,13283,8,388063,540984,152921
36000,131,13294,7,408930,547450,138520
36000,565,13141,7,363559,467491,103932
36000,232,13296,7,406651,573138,166487
36000,316,13283,9,371681,469512,97831
36000,161,13324,7,392142,434497,42355
36000,128,13326,7,391922,424167,32245
36000,88,13220,8,358595,414922,56327
36000,76,13215,9,353473,468058,114585
36000,318,13340,7,327141,395973,68832
36000,234,13238,7,418088,488503,70415
36000,246,13274,7,435101,493782,58681
36000,146,13226,8,339578,518701,179123
37000,293,13562,8,390821,486682,95861
37000,266,13557,7,375658,458129,82471
37000,155,13687,7,429267,506131,76864
37000,384,13658,7,384196,444984,60788
37000,202,13575,7,393970,482973,89003
37000,225,13612,7,374582,481554,106972
37000,268,13688,7,518608,539318,20710
37000,207,13550,7,363113,455310,92197
37000,354,13634,7,436022,541478,105456
37000,444,13582,8,368816,419548,50732
37000,49,13589,9,385089,523014,137925
37000,207,13609,7,404494,432921,28427
37000,287,13563,7,446978,565117,118139
37000,288,13557,8,395208,457416,62208
37000,241,13545,9,423169,533147,109978
37000,235,13573,7,352941,446898,93957
37000,391,13448,6,387964,476128,88164
37000,130,13633,7,480221,488868,8647
37000,323,13607,7,352976,477422,124446
37000,42,13565,7,400369,568576,168207
37000,255,13452,8,375067,556721,181654
37000,143,13597,7,528162,546864,18702
37000,72,13746,7,405638,510580,104942
37000,232,13576,7,375896,462890,86994
37000,68,13581,7,382775,663525,280750
37000,245,13601,9,380566,497213,116647
37000,237,13711,7,377625,530673,153048
37000,88,13687,7,383217,510508,127291
37000,106,13425,6,414684,608483,193799
37000,222,13746,7,448877,480734,31857
37000,265,13574,7,400636,476272,75636
37000,249,13530,7,422729,481548,58819
37000,322,13671,7,451939,488491,36552
37000,485,13597,7,405643,500137,94494
37000,236,13623,7,404445,481534,77089
37000,140,13603,7,412800,431318,18518
37000,348,13661,7,404165,557256,153091
37000,78,13673,8,458247,553304,95057
37000,71,13465,7,387089,449581,62492
37000,319,13560,7,437869,487420,49551
37000,88,13615,7,373599,485495,111896
37000,211,13668,7,369987,644357,274370
37000,292,13581,7,464075,530553,66478
37000,344,13705,7,402264,522361,120097
37000,241,13636,6,382809,517980,135171
37000,86,13625,8,397426,484274,86848
37000,201,13526,7,377290,551597,174307
37000,203,13666,8,355569,440317,84748
37000,172,13610,7,446540,501607,55067
37000,195,13662,9,352234,453536,101302
38000,201,13982,7,419856,557065,137209
38000,361,14024,8,464532,509743,45211
38000,121,13945,7,447229,639548,192319
38000,171,13924,7,483999,536272,52273
38000,227,13953,7,406210,456423,50213
38000,136,13958,7,419137,496050,76913
38000,222,14060,8,434107,536542,102435
38000,70,14014,8,396770,554099,157329
38000,182,13951,7,430349,479584,49235
38000,419,14036,7,413586,520217,106631
38000,129,13979,7,404432,478578,74146
38000,198,14036,7,418854,501923,83069
38000,257,13937,7,592889,642781,49892
38000,104,14038,7,460057,592940,132883
38000,404,13956,6,424701,551669,126968
38000,211,13902,9,426849,555898,129049
38000,239,14014,7,493665,502423,8758
38000,199,13914,8,416114,539799,123685
38000,37,13994,7,430103,433613,3510
38000,147,14019,8,436743,462513,25770
38000,268,14059,7,459723,541683,81960
38000,138,13942,8,440955,598681,157726
38000,231,14106,7,370956,577505,206549
38000,492,14045,7,384661,529757,145096
38000,238,13890,7,391415,448698,57283
38000,361,14014,8,353247,517583,164336
38000,218,14016,7,355664,485595,129931
38000,451,14037,7,431816,506486,74670
38000,94,13965,7,397420,478004,80584
38000,336,14004,7,403033,528833,125800
38000,22,13997,7,432065,586310,154245
38000,454,13952,7,401747,500095,98348
38000,310,13952,8,360528,437958,77430
38000,417,14060,8,492284,566727,74443
38000,272,13973,7,453418,470507,17089
38000,161,14002,7,426222,506835,80613
38000,141,13956,7,593726,626644,32918
38000,307,13951,7,406971,574308,167337
38000,179,14022,7,349449,681920,332471
38000,247,14055,8,434333,543892,109559
38000,142,14055,7,407940,477707,69767
38000,118,13955,7,409002,542918,133916
38000,237,13949,7,470519,511343,40824
38000,466,14005,8,465107,486787,21680
38000,244,13990,8,403994,618749,214755
38000,188,13909,7,466577,563798,97221
38000,225,13942,7,408453,528872,120419
38000,230,13952,8,450897,479783,28886
38000,298,13997,8,491590,654273,162683
38000,69,14152,7,378344,568731,190387
39000,70,14354,7,499614,572516,72902
39000,174,14344,7,406217,477665,71448
39000,147,14300,8,442184,505893,63709
39000,101,14372,10,491174,558726,67552
39000,177,14311,7,433287,504681,71394
39000,308,14452,9,497291,526473,29182
39000,247,14283,7,487247,786163,298916
39000,211,14371,8,374226,476833,102607
39000,211,14220,7,458585,557567,98982
39000,206,14437,7,451251,550031,98780
39000,262,14405,7,444480,628020,183540
39000,210,14280,7,522631,564171,41540
39000,263,14403,6,384898,462518,77620
39000,282,14326,7,339314,524717,185403
39000,296,14276,7,416905,542695,125790
39000,339,14369,8,399691,517189,117498
39000,384,14307,7,389372,482493,93121
39000,293,14355,7,473402,514302,40900
39000,254,14367,7,492353,521015,28662
39000,334,14235,7,438231,570936,132705
39000,144,14360,8,493456,619125,125669
39000,208,14297,8,364447,519398,154951
39000,158,14423,8,402294,536985,134691
39000,59,14317,7,550505,590165,39660
39000,445,14241,7,394072,518173,124101
39000,207,14327,7,431323,533893,102570
39000,389,14337,7,446187,515773,69586
39000,322,14458,7,418006,491352,73346
39000,477,14376,7,437671,466946,29275
39000,629,14260,7,392465,550627,158162
39000,163,14330,7,432463,521552,89089
39000,65,14332,7,451906,562140,110234
39000,174,14521,8,378128,482831,104703
39000,103,14415,7,355299,552979,197680
39000,208,14248,6,436387,590460,154073
39000,423,14309,7,422365,501115,78750
39000,310,14383,7,470441,514908,44467
39000,494,14331,8,357780,490654,132874
39000,231,14234,8,402739,483098,80359
39000,445,14380,8,423764,546623,122859
39000,246,14320,7,421614,482837,61223
39000,235,14401,7,381951,531974,150023
39000,72,14339,7,452437,491001,38564
39000,314,14253,7,387912,448596,60684
39000,306,14342,7,406895,512911,106016
39000,110,14343,8,501070,607301,106231
39000,190,14260,7,444495,483977,39482
39000,297,14345,8,501808,569375,67567
39000,515,14393,7,435638,516146,80508
39000,123,14320,7,426293,535635,109342
40000,354,14767,7,383705,497137,113432
40000,93,14687,7,466970,532334,65364
40000,265,14657,8,403001,514877,111876
40000,396,14771,9,605676,656473,50797
40000,357,14768,7,365809,623063,257254
40000,250,14762,8,440052,554841,114789
40000,313,14749,8,383526,546227,162701
40000,422,14819,8,406003,503446,97443
40000,370,14907,8,437700,500970,63270
40000,116,14790,7,453863,695552,241689
40000,303,14771,7,473891,605962,132071
40000,180,14693,7,434440,504966,70526
40000,115,14600,8,466327,506818,40491
40000,128,14672,8,407362,557541,150179
40000,199,14659,7,442467,495454,52987
40000,401,14706,9,461539,566664,105125
40000,168,14651,7,439051,484323,45272
40000,305,14733,7,487812,496886,9074
40000,69,14623,7,418397,565842,147445
40000,175,14656,8,474075,581529,107454
40000,168,14736,7,472894,543152,70258
40000,325,14625,8,415508,546304,130796
40000,205,14733,7,413843,474928,61085
40000,244,14620,8,409324,668084,258760
40000,478,14720,8,451129,484598,33469
40000,299,14621,7,378154,478255,100101
40000,214,14624,7,418888,549142,130254
40000,366,14631,6,391848,469150,77302
40000,18,14768,7,458794,548588,89794
40000,58,14615,7,433274,481431,48157
40000,367,14706,7,401738,512655,110917
40000,154,14800,7,425266,661004,235738
40000,166,14681,7,496995,524607,27612
40000,140,14715,8,395198,531319,136121
40000,161,14865,6,433998,542861,108863
40000,87,14681,7,511480,571625,60145
40000,454,14638,7,423076,558755,135679
40000,357,14769,8,433397,535075,101678
40000,265,14654,7,435646,545232,109586
40000,116,14656,8,380633,492594,111961
40000,269,14690,7,453269,612889,159620
40000,383,14722,7,551722,631766,80044
40000,180,14592,8,414055,541855,127800
40000,115,14724,7,453619,496425,42806
40000,265,14652,7,451201,553766,102565
40000,174,14738,7,534656,829831,295175
40000,298,14793,7,383598,522165,138567
40000,625,14700,7,405132,533426,128294
40000,522,14685,7,402488,593934,191446
40000,484,14699,7,419246,626418,207172
41000,315,15013,7,488462,647049,158587
41000,361,14995,8,476278,685254,208976
41000,258,15130,8,461014,584666,123652
41000,197,15023,7,579287,600515,21228
41000,398,15005,8,449851,584097,134246
41000,79,14947,8,521330,592693,71363
41000,204,15128,8,468964,530763,61799
41000,34,15046,7,463753,511774,48021
41000,470,14997,8,366297,467284,100987
41000,195,15035,8,455611,560762,105151
41000,371,14952,7,513640,614997,101357
41000,64,15100,7,453054,497149,44095
41000,105,15099,7,411464,529669,118205
41000,129,15000,8,495375,648065,152690
41000,476,15142,7,510653,621350,110697
41000,197,15018,7,446096,558211,112115
41000,253,15026,9,590957,707335,116378
41000,153,15127,8,536216,651447,115231
41000,602,15007,8,636321,666263,29942
41000,783,15029,9,407141,513104,105963
41000,213,15172,7,419348,524693,105345
41000,252,14953,8,656823,721936,65113
41000,174,15029,7,445286,574911,129625
41000,80,15041,8,449216,637258,188042
41000,342,14976,7,457599,627345,169746
41000,385,15116,7,416670,601292,184622
41000,56,15112,7,490330,601463,111133
41000,49,15163,7,430342,529524,99182
41000,224,15221,7,411887,500002,88115
41000,73,15066,8,473959,532292,58333
41000,177,14999,8,475493,670427,194934
41000,259,15007,7,430015,532645,102630
41000,157,15088,7,540191,551952,11761
41000,126,15141,7,520558,639419,118861
41000,186,15078,8,406926,509536,102610
41000,229,14982,8,427107,571481,144374
41000,192,14989,7,606211,642548,36337
41000,304,15171,7,409436,589857,180421
41000,146,15089,8,447734,588181,140447
41000,117,14925,7,496506,614189,117683
