n,c,error_inverse,error_gauss
5,1.0,1.7901808365247238e-16,1.719950113979703e-16
5,1.0,1.719950113979703e-16,3.1791949213824894e-16
5,1.0,1.4895204919483638e-16,3.020133145511626e-16
5,1.0,1.2161883888976234e-16,1.719950113979703e-16
5,1.0,2.3288234633381846e-16,9.930136612989092e-17
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,2.6272671962866383e-16,2.482534153247273e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,2.220446049250313e-16,2.220446049250313e-16
5,1.0,1.5700924586837752e-16,1.4895204919483638e-16
5,1.0,2.3288234633381846e-16,2.0471501066083611e-16
5,1.0,2.0471501066083611e-16,2.2752801345137457e-16
5,1.0,1.719950113979703e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.7901808365247238e-16
5,1.0,2.1065000811460203e-16,2.2752801345137457e-16
5,1.0,1.85775845048325e-16,1.9860273225978183e-16
5,1.0,2.895107444979072e-16,2.432376777795247e-16
5,1.0,3.475547814546182e-16,3.1791949213824894e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,1.2161883888976234e-16,1.1102230246251565e-16
5,1.0,2.0471501066083611e-16,1.4895204919483638e-16
5,1.0,2.1065000811460203e-16,1.719950113979703e-16
5,1.0,7.021666937153402e-17,4.965068306494546e-17
5,1.0,2.0471501066083611e-16,1.7901808365247238e-16
5,1.0,1.4895204919483638e-16,7.021666937153402e-17
5,1.0,2.220446049250313e-16,2.2752801345137457e-16
5,1.0,2.482534153247273e-16,2.432376777795247e-16
5,1.0,1.6467268631127712e-16,1.4895204919483638e-16
5,1.0,0.0,3.1401849173675503e-16
5,1.0,1.85775845048325e-16,1.4043333874306804e-16
5,1.0,2.432376777795247e-16,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,2.0471501066083611e-16,3.1401849173675503e-16
5,1.0,1.4043333874306804e-16,2.2752801345137457e-16
5,1.0,1.5700924586837752e-16,2.0471501066083611e-16
5,1.0,1.7901808365247238e-16,2.482534153247273e-16
5,1.0,3.475547814546182e-16,1.7901808365247238e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,2.2752801345137457e-16,1.4043333874306804e-16
5,1.0,1.2161883888976234e-16,7.021666937153402e-17
5,1.0,1.4043333874306804e-16,2.3288234633381846e-16
5,1.0,1.719950113979703e-16,1.7901808365247238e-16
5,1.0,3.3674731643402955e-16,3.614624287906422e-16
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,1.7901808365247238e-16,1.7901808365247238e-16
5,1.0,1.4043333874306804e-16,1.4895204919483638e-16
5,1.0,2.432376777795247e-16,9.930136612989092e-17
5,1.0,2.2752801345137457e-16,2.0471501066083611e-16
5,1.0,1.719950113979703e-16,1.4043333874306804e-16
5,1.0,1.85775845048325e-16,1.5700924586837752e-16
5,1.0,1.1102230246251565e-16,1.5700924586837752e-16
5,1.0,1.9860273225978183e-16,1.1102230246251565e-16
5,1.0,1.719950113979703e-16,9.930136612989092e-17
5,1.0,9.930136612989092e-17,1.719950113979703e-16
5,1.0,1.5700924586837752e-16,4.965068306494546e-17
5,1.0,1.2161883888976234e-16,2.531698018113677e-16
5,1.0,2.3288234633381846e-16,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,2.1065000811460203e-16,0.0
5,1.0,1.85775845048325e-16,1.2161883888976234e-16
5,1.0,1.9860273225978183e-16,2.1065000811460203e-16
5,1.0,1.7901808365247238e-16,1.4043333874306804e-16
5,1.0,0.0,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,2.220446049250313e-16
5,1.0,7.021666937153402e-17,1.4043333874306804e-16
5,1.0,3.2934537262255424e-16,1.85775845048325e-16
5,1.0,2.2752801345137457e-16,2.6737711109153337e-16
5,1.0,1.7901808365247238e-16,1.4895204919483638e-16
5,1.0,9.930136612989092e-17,4.965068306494546e-17
5,1.0,1.5700924586837752e-16,1.1102230246251565e-16
5,1.0,1.7901808365247238e-16,1.7901808365247238e-16
5,1.0,1.4043333874306804e-16,1.85775845048325e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,9.930136612989092e-17,1.4043333874306804e-16
5,1.0,1.4043333874306804e-16,9.930136612989092e-17
5,1.0,2.2752801345137457e-16,2.531698018113677e-16
5,1.0,1.7901808365247238e-16,1.4043333874306804e-16
5,1.0,1.5700924586837752e-16,1.4043333874306804e-16
5,1.0,2.0471501066083611e-16,1.7901808365247238e-16
5,1.0,9.930136612989092e-17,1.7901808365247238e-16
5,1.0,1.719950113979703e-16,1.4895204919483638e-16
5,1.0,1.4043333874306804e-16,1.1102230246251565e-16
5,1.0,1.4043333874306804e-16,2.482534153247273e-16
5,1.0,1.1102230246251565e-16,7.021666937153402e-17
5,1.0,2.808666774861361e-16,1.7901808365247238e-16
5,1.0,1.9860273225978183e-16,2.482534153247273e-16
5,1.0,1.719950113979703e-16,9.930136612989092e-17
5,1.0,1.7901808365247238e-16,2.6272671962866383e-16
5,1.0,1.5700924586837752e-16,9.930136612989092e-17
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,1.85775845048325e-16,9.930136612989092e-17
5,1.0,1.5700924586837752e-16,1.1102230246251565e-16
5,1.0,1.2161883888976234e-16,2.0471501066083611e-16
5,1.0,1.4895204919483638e-16,1.2161883888976234e-16
5,1.0,1.719950113979703e-16,1.1102230246251565e-16
5,1.0,2.220446049250313e-16,1.9860273225978183e-16
5,1.0,2.482534153247273e-16,2.531698018113677e-16
5,1.0,8.599750569898515e-17,1.4895204919483638e-16
5,1.0,2.1065000811460203e-16,1.85775845048325e-16
5,1.0,1.1102230246251565e-16,1.3136335981433191e-16
5,1.0,2.482534153247273e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,1.4043333874306804e-16,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,8.599750569898515e-17,1.719950113979703e-16
5,1.0,1.9860273225978183e-16,2.1065000811460203e-16
5,1.0,1.5700924586837752e-16,4.965068306494546e-17
5,1.0,1.7901808365247238e-16,1.719950113979703e-16
5,1.0,1.1102230246251565e-16,9.930136612989092e-17
5,1.0,1.1102230246251565e-16,1.9860273225978183e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,4.965068306494546e-17,1.7901808365247238e-16
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,1.7901808365247238e-16,1.1102230246251565e-16
5,1.0,2.3288234633381846e-16,1.9860273225978183e-16
5,1.0,1.4043333874306804e-16,4.965068306494546e-17
5,1.0,2.0471501066083611e-16,2.6272671962866383e-16
5,1.0,1.1102230246251565e-16,1.9860273225978183e-16
5,1.0,1.4895204919483638e-16,1.719950113979703e-16
5,1.0,1.2161883888976234e-16,1.2161883888976234e-16
5,1.0,9.930136612989092e-17,1.1102230246251565e-16
5,1.0,9.930136612989092e-17,4.965068306494546e-17
5,1.0,1.4043333874306804e-16,1.4895204919483638e-16
5,1.0,1.1102230246251565e-16,1.7901808365247238e-16
5,1.0,1.2161883888976234e-16,1.7901808365247238e-16
5,1.0,0.0,1.4895204919483638e-16
5,1.0,1.7901808365247238e-16,1.1102230246251565e-16
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,1.2161883888976234e-16,1.4043333874306804e-16
5,1.0,1.85775845048325e-16,1.7901808365247238e-16
5,1.0,1.2161883888976234e-16,2.2752801345137457e-16
5,1.0,4.965068306494546e-17,4.965068306494546e-17
5,1.0,8.599750569898515e-17,1.4895204919483638e-16
5,1.0,7.021666937153402e-17,1.4043333874306804e-16
5,1.0,1.4043333874306804e-16,1.1102230246251565e-16
5,1.0,2.432376777795247e-16,2.432376777795247e-16
5,1.0,9.930136612989092e-17,2.2752801345137457e-16
5,1.0,2.0471501066083611e-16,1.719950113979703e-16
5,1.0,1.1102230246251565e-16,1.4043333874306804e-16
5,1.0,3.1401849173675503e-16,3.1791949213824894e-16
5,1.0,1.1102230246251565e-16,1.9229626863835638e-16
5,1.0,2.432376777795247e-16,1.4043333874306804e-16
5,1.0,2.0471501066083611e-16,2.220446049250313e-16
5,1.0,2.482534153247273e-16,2.2752801345137457e-16
5,1.0,1.85775845048325e-16,1.4043333874306804e-16
5,1.0,1.7901808365247238e-16,2.2752801345137457e-16
5,1.0,1.85775845048325e-16,4.965068306494546e-17
5,1.0,2.432376777795247e-16,9.930136612989092e-17
5,1.0,1.2161883888976234e-16,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,9.930136612989092e-17
5,1.0,1.2161883888976234e-16,4.965068306494546e-17
5,1.0,1.85775845048325e-16,1.1102230246251565e-16
5,1.0,2.1065000811460203e-16,2.381163109968744e-16
5,1.0,1.7901808365247238e-16,4.124295487574583e-16
5,1.0,2.764433037591714e-16,2.808666774861361e-16
5,1.0,1.85775845048325e-16,1.4895204919483638e-16
5,1.0,1.2161883888976234e-16,1.7901808365247238e-16
5,1.0,2.8522145930998397e-16,1.4043333874306804e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,9.930136612989092e-17,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.6467268631127712e-16
5,1.0,2.482534153247273e-16,1.3136335981433191e-16
5,1.0,2.220446049250313e-16,1.1102230246251565e-16
5,1.0,1.1102230246251565e-16,1.5700924586837752e-16
5,1.0,1.4895204919483638e-16,1.719950113979703e-16
5,1.0,1.7901808365247238e-16,1.85775845048325e-16
5,1.0,2.808666774861361e-16,2.0471501066083611e-16
5,1.0,2.220446049250313e-16,2.0471501066083611e-16
5,1.0,4.965068306494546e-17,7.021666937153402e-17
5,1.0,1.85775845048325e-16,2.8522145930998397e-16
5,1.0,2.2752801345137457e-16,1.9860273225978183e-16
5,1.0,9.930136612989092e-17,9.930136612989092e-17
5,1.0,1.1102230246251565e-16,1.9860273225978183e-16
5,1.0,1.7901808365247238e-16,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,0.0,1.2161883888976234e-16
5,1.0,2.531698018113677e-16,1.3136335981433191e-16
5,1.0,1.719950113979703e-16,1.7901808365247238e-16
5,1.0,2.220446049250313e-16,2.0471501066083611e-16
5,1.0,1.4895204919483638e-16,2.6272671962866383e-16
5,1.0,7.021666937153402e-17,9.930136612989092e-17
5,1.0,1.2161883888976234e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,1.1102230246251565e-16,2.3288234633381846e-16
5,1.0,9.930136612989092e-17,1.4043333874306804e-16
5,1.0,1.9229626863835638e-16,1.7901808365247238e-16
5,1.0,1.4043333874306804e-16,2.0471501066083611e-16
5,1.0,1.4043333874306804e-16,1.1102230246251565e-16
5,1.0,2.2752801345137457e-16,2.0471501066083611e-16
5,1.0,2.482534153247273e-16,1.7901808365247238e-16
5,1.0,7.021666937153402e-17,1.1102230246251565e-16
5,1.0,2.1065000811460203e-16,1.719950113979703e-16
5,1.0,1.4043333874306804e-16,9.930136612989092e-17
5,1.0,1.4895204919483638e-16,1.4043333874306804e-16
5,1.0,1.1102230246251565e-16,1.719950113979703e-16
5,1.0,2.2752801345137457e-16,1.7901808365247238e-16
5,1.0,2.895107444979072e-16,1.5700924586837752e-16
5,1.0,1.4043333874306804e-16,1.5700924586837752e-16
5,1.0,1.9860273225978183e-16,2.220446049250313e-16
5,1.0,1.3136335981433191e-16,1.4895204919483638e-16
5,1.0,2.2752801345137457e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,9.930136612989092e-17
5,1.0,2.0471501066083611e-16,1.719950113979703e-16
5,1.0,9.930136612989092e-17,2.220446049250313e-16
5,1.0,2.432376777795247e-16,2.0471501066083611e-16
5,1.0,1.4895204919483638e-16,2.0471501066083611e-16
5,1.0,2.8522145930998397e-16,3.020133145511626e-16
5,1.0,1.719950113979703e-16,1.1102230246251565e-16
5,1.0,1.1102230246251565e-16,2.482534153247273e-16
5,1.0,1.4895204919483638e-16,1.4043333874306804e-16
5,1.0,9.930136612989092e-17,1.719950113979703e-16
5,1.0,2.432376777795247e-16,1.4043333874306804e-16
5,1.0,2.220446049250313e-16,1.9860273225978183e-16
5,1.0,2.0471501066083611e-16,2.9790409838967276e-16
5,1.0,2.3288234633381846e-16,1.3136335981433191e-16
5,1.0,1.7901808365247238e-16,1.5700924586837752e-16
5,1.0,1.4043333874306804e-16,2.220446049250313e-16
5,1.0,1.4895204919483638e-16,1.1102230246251565e-16
5,1.0,1.7901808365247238e-16,2.482534153247273e-16
5,1.0,2.220446049250313e-16,1.719950113979703e-16
5,1.0,1.719950113979703e-16,1.719950113979703e-16
5,1.0,2.432376777795247e-16,2.0471501066083611e-16
5,1.0,1.1102230246251565e-16,2.1065000811460203e-16
5,1.0,7.021666937153402e-17,2.381163109968744e-16
5,1.0,2.220446049250313e-16,1.9860273225978183e-16
5,1.0,2.482534153247273e-16,1.1102230246251565e-16
5,1.0,1.4895204919483638e-16,2.6272671962866383e-16
5,1.0,1.5700924586837752e-16,1.4043333874306804e-16
5,1.0,1.719950113979703e-16,1.7901808365247238e-16
5,1.0,2.220446049250313e-16,1.85775845048325e-16
5,1.0,2.2752801345137457e-16,2.1065000811460203e-16
5,1.0,1.7901808365247238e-16,1.1102230246251565e-16
5,1.0,1.719950113979703e-16,1.719950113979703e-16
5,1.0,7.021666937153402e-17,1.4043333874306804e-16
5,1.0,2.220446049250313e-16,1.9860273225978183e-16
5,1.0,2.3288234633381846e-16,1.7901808365247238e-16
5,1.0,9.930136612989092e-17,4.965068306494546e-17
5,1.0,1.7901808365247238e-16,2.482534153247273e-16
5,1.0,1.1102230246251565e-16,4.965068306494546e-17
5,1.0,9.930136612989092e-17,1.9229626863835638e-16
5,1.0,2.2752801345137457e-16,1.6467268631127712e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,2.482534153247273e-16,2.482534153247273e-16
5,1.0,1.719950113979703e-16,1.4895204919483638e-16
5,1.0,1.5700924586837752e-16,3.2177320244274193e-16
5,1.0,1.5700924586837752e-16,1.2161883888976234e-16
5,1.0,1.4895204919483638e-16,2.531698018113677e-16
5,1.0,1.4895204919483638e-16,0.0
5,1.0,1.1102230246251565e-16,1.3136335981433191e-16
5,1.0,8.599750569898515e-17,1.4895204919483638e-16
5,1.0,1.9860273225978183e-16,1.9860273225978183e-16
5,1.0,2.0471501066083611e-16,1.1102230246251565e-16
5,1.0,7.021666937153402e-17,1.7901808365247238e-16
5,1.0,9.930136612989092e-17,1.1102230246251565e-16
5,1.0,2.0471501066083611e-16,1.1102230246251565e-16
5,1.0,2.8522145930998397e-16,3.5803616730494477e-16
5,1.0,1.4043333874306804e-16,1.719950113979703e-16
5,1.0,1.1102230246251565e-16,1.4043333874306804e-16
5,1.0,2.6272671962866383e-16,1.4895204919483638e-16
5,1.0,9.930136612989092e-17,9.930136612989092e-17
5,1.0,3.5108334685767007e-16,1.4895204919483638e-16
5,1.0,3.2558130188798225e-16,1.4043333874306804e-16
5,1.0,2.1065000811460203e-16,1.9860273225978183e-16
5,1.0,8.599750569898515e-17,4.965068306494546e-17
5,1.0,9.930136612989092e-17,9.930136612989092e-17
5,1.0,9.930136612989092e-17,1.1102230246251565e-16
5,1.0,7.021666937153402e-17,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,4.965068306494546e-17
5,1.0,7.021666937153402e-17,1.5700924586837752e-16
5,1.0,1.1102230246251565e-16,1.4043333874306804e-16
5,1.0,2.6272671962866383e-16,2.0471501066083611e-16
5,1.0,1.4043333874306804e-16,2.3288234633381846e-16
5,1.0,1.719950113979703e-16,3.8778423131653424e-16
5,1.0,2.482534153247273e-16,1.7901808365247238e-16
5,1.0,1.3136335981433191e-16,1.2161883888976234e-16
5,1.0,2.2752801345137457e-16,2.3288234633381846e-16
5,1.0,1.9860273225978183e-16,9.930136612989092e-17
5,1.0,1.5700924586837752e-16,1.5700924586837752e-16
5,1.0,1.6467268631127712e-16,2.0471501066083611e-16
5,1.0,7.021666937153402e-17,7.021666937153402e-17
5,1.0,2.432376777795247e-16,1.2161883888976234e-16
5,1.0,1.7901808365247238e-16,4.965068306494546e-17
5,1.0,1.1102230246251565e-16,0.0
5,1.0,1.4043333874306804e-16,1.1102230246251565e-16
5,1.0,1.7901808365247238e-16,1.5700924586837752e-16
5,1.0,2.7194799110210365e-16,1.4895204919483638e-16
5,1.0,1.1102230246251565e-16,2.3288234633381846e-16
5,1.0,1.7901808365247238e-16,1.4895204919483638e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,1.4043333874306804e-16,1.4043333874306804e-16
5,1.0,1.5700924586837752e-16,2.0471501066083611e-16
5,1.0,1.1102230246251565e-16,2.0471501066083611e-16
5,1.0,1.5700924586837752e-16,1.719950113979703e-16
5,1.0,1.1102230246251565e-16,1.7901808365247238e-16
5,1.0,9.930136612989092e-17,1.9860273225978183e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,2.432376777795247e-16,1.719950113979703e-16
5,1.0,2.3288234633381846e-16,2.0471501066083611e-16
5,1.0,8.599750569898515e-17,1.1102230246251565e-16
5,1.0,2.531698018113677e-16,9.930136612989092e-17
5,1.0,1.9860273225978183e-16,1.4043333874306804e-16
5,1.0,2.482534153247273e-16,2.6272671962866383e-16
5,1.0,1.719950113979703e-16,1.719950113979703e-16
5,1.0,4.965068306494546e-17,2.482534153247273e-16
5,1.0,1.4895204919483638e-16,2.3288234633381846e-16
5,1.0,1.4043333874306804e-16,2.6272671962866383e-16
5,1.0,2.432376777795247e-16,2.6272671962866383e-16
5,1.0,1.4895204919483638e-16,1.719950113979703e-16
5,1.0,9.930136612989092e-17,1.719950113979703e-16
5,1.0,1.4895204919483638e-16,1.5700924586837752e-16
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,4.965068306494546e-17,1.4043333874306804e-16
5,1.0,2.9790409838967276e-16,2.8522145930998397e-16
5,1.0,1.5700924586837752e-16,1.719950113979703e-16
5,1.0,2.432376777795247e-16,2.0471501066083611e-16
5,1.0,7.021666937153402e-17,1.4043333874306804e-16
5,1.0,1.4043333874306804e-16,1.4895204919483638e-16
5,1.0,1.2161883888976234e-16,2.0471501066083611e-16
5,1.0,2.432376777795247e-16,2.6737711109153337e-16
5,1.0,1.719950113979703e-16,1.1102230246251565e-16
5,1.0,2.6272671962866383e-16,1.5700924586837752e-16
5,1.0,9.930136612989092e-17,1.1102230246251565e-16
5,1.0,7.021666937153402e-17,1.4895204919483638e-16
5,1.0,3.060673659425244e-16,2.2752801345137457e-16
5,1.0,2.6272671962866383e-16,1.5700924586837752e-16
5,1.0,1.4043333874306804e-16,1.7901808365247238e-16
5,1.0,1.9229626863835638e-16,1.9860273225978183e-16
5,1.0,2.1065000811460203e-16,2.482534153247273e-16
5,1.0,2.482534153247273e-16,2.2752801345137457e-16
5,1.0,2.482534153247273e-16,2.482534153247273e-16
5,1.0,2.531698018113677e-16,0.0
5,1.0,2.432376777795247e-16,9.930136612989092e-17
5,1.0,2.0471501066083611e-16,7.021666937153402e-17
5,1.0,1.1102230246251565e-16,1.5700924586837752e-16
5,1.0,1.4043333874306804e-16,1.7901808365247238e-16
5,1.0,2.432376777795247e-16,1.719950113979703e-16
5,1.0,1.2161883888976234e-16,0.0
5,1.0,1.9860273225978183e-16,1.4895204919483638e-16
5,1.0,2.482534153247273e-16,1.719950113979703e-16
5,1.0,1.9860273225978183e-16,2.220446049250313e-16
5,1.0,2.164223099578636e-16,2.0471501066083611e-16
5,1.0,1.719950113979703e-16,1.719950113979703e-16
5,1.0,1.719950113979703e-16,1.4043333874306804e-16
5,1.0,2.432376777795247e-16,1.719950113979703e-16
5,1.0,1.2161883888976234e-16,9.930136612989092e-17
5,1.0,1.5700924586837752e-16,1.4895204919483638e-16
5,1.0,1.719950113979703e-16,1.5700924586837752e-16
5,1.0,1.4043333874306804e-16,1.4043333874306804e-16
5,1.0,1.4043333874306804e-16,1.1102230246251565e-16
5,1.0,4.965068306494546e-17,7.021666937153402e-17
5,1.0,9.930136612989092e-17,2.9790409838967276e-16
5,1.0,9.930136612989092e-17,1.719950113979703e-16
5,1.0,1.2161883888976234e-16,3.1791949213824894e-16
5,1.0,2.6272671962866383e-16,2.808666774861361e-16
5,1.0,1.4895204919483638e-16,1.4043333874306804e-16
5,1.0,0.0,1.719950113979703e-16
5,1.0,4.965068306494546e-17,1.9860273225978183e-16
5,1.0,1.1102230246251565e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,2.220446049250313e-16
5,1.0,3.020133145511626e-16,2.0471501066083611e-16
5,1.0,1.4895204919483638e-16,7.021666937153402e-17
5,1.0,1.4043333874306804e-16,1.4043333874306804e-16
5,1.0,2.0471501066083611e-16,2.0471501066083611e-16
5,1.0,4.965068306494546e-17,1.4043333874306804e-16
5,1.0,1.719950113979703e-16,1.4895204919483638e-16
5,1.0,2.0471501066083611e-16,1.1102230246251565e-16
5,1.0,4.965068306494546e-17,2.2752801345137457e-16
5,1.0,1.1102230246251565e-16,2.381163109968744e-16
5,1.0,1.6467268631127712e-16,1.7901808365247238e-16
5,1.0,1.4043333874306804e-16,1.9860273225978183e-16
5,1.0,1.9860273225978183e-16,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,9.930136612989092e-17
5,1.0,1.719950113979703e-16,1.9860273225978183e-16
5,1.0,2.432376777795247e-16,1.4895204919483638e-16
5,1.0,0.0,1.7901808365247238e-16
5,1.0,3.020133145511626e-16,2.1065000811460203e-16
5,1.0,2.1065000811460203e-16,2.1065000811460203e-16
5,1.0,2.1065000811460203e-16,2.2752801345137457e-16
5,1.0,1.85775845048325e-16,1.2161883888976234e-16
5,1.0,1.7901808365247238e-16,1.7901808365247238e-16
5,1.0,1.2161883888976234e-16,9.930136612989092e-17
5,1.0,2.0471501066083611e-16,2.220446049250313e-16
5,1.0,1.4043333874306804e-16,3.3306690738754696e-16
5,1.0,2.0471501066083611e-16,7.021666937153402e-17
5,1.0,2.432376777795247e-16,1.719950113979703e-16
5,1.0,0.0,1.7901808365247238e-16
5,1.0,7.021666937153402e-17,1.719950113979703e-16
5,1.0,1.6467268631127712e-16,1.7901808365247238e-16
5,1.0,1.1102230246251565e-16,9.930136612989092e-17
5,1.0,1.2161883888976234e-16,2.482534153247273e-16
5,1.0,2.2752801345137457e-16,1.719950113979703e-16
5,1.0,4.124295487574583e-16,4.710277376051325e-16
5,1.0,2.6272671962866383e-16,2.220446049250313e-16
5,1.0,2.432376777795247e-16,2.2752801345137457e-16
5,1.0,1.5700924586837752e-16,1.2161883888976234e-16
5,1.0,3.1791949213824894e-16,3.614624287906422e-16
5,1.0,9.930136612989092e-17,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,1.2161883888976234e-16
5,1.0,2.432376777795247e-16,2.0471501066083611e-16
5,1.0,2.6272671962866383e-16,2.432376777795247e-16
5,1.0,2.6737711109153337e-16,2.2752801345137457e-16
5,1.0,1.4895204919483638e-16,1.4043333874306804e-16
5,1.0,2.1065000811460203e-16,1.5700924586837752e-16
5,1.0,1.2161883888976234e-16,1.719950113979703e-16
5,1.0,2.7194799110210365e-16,1.1102230246251565e-16
5,1.0,2.6272671962866383e-16,1.7901808365247238e-16
5,1.0,2.432376777795247e-16,1.9860273225978183e-16
5,1.0,4.965068306494546e-17,1.7901808365247238e-16
5,1.0,1.1102230246251565e-16,1.4895204919483638e-16
5,1.0,2.2752801345137457e-16,3.2934537262255424e-16
5,1.0,1.7901808365247238e-16,2.164223099578636e-16
5,1.0,1.7901808365247238e-16,9.930136612989092e-17
5,1.0,2.808666774861361e-16,1.1102230246251565e-16
5,1.0,1.9229626863835638e-16,1.6467268631127712e-16
5,1.0,1.7901808365247238e-16,1.2161883888976234e-16
5,1.0,1.1102230246251565e-16,1.1102230246251565e-16
5,1.0,9.930136612989092e-17,1.3136335981433191e-16
